Title,Link,Snippet
HPC '13: Proceedings of the High Performance Computing Symposium,https://dl.acm.org/doi/proceedings/10.5555/2499968,"Welcome to the Spring Simulation Multi-Conference 2013 (SpringSim'13) in San Diego, CA. As the General Chair of this year's SpringSim, it is an honor and privilege to be your host for these exciting four days of activities driven and organized by the ..."
Integration of high-performance computing into a VCL cloud,https://dl.acm.org/doi/10.1145/2535800.2535802,"High-Performance Computing (HPC) services can range from those on peta-flop supercomputers down to smaller computational clusters used for HPC application development, pilot runs and staging. What they all have in common is that traditionally HPC ..."
CHINA HPC '07: Proceedings of the 2007 Asian technology information program's (ATIP's) 3rd workshop on High performance computing in China: solution approaches to impediments for high performance computing,https://dl.acm.org/doi/proceedings/10.1145/1375783,The Asian Technology Information Program (ATIP) will soon begin its fourteenth year of operations throughout Asia. ATIP is recognized as a premier source of information on Asia's most important scientific and technological trends and developments. ATIP ...
HPC '14: Proceedings of the High Performance Computing Symposium,https://dl.acm.org/doi/proceedings/10.5555/2663510,
High Performance Computing Education: Current Challenges and Future Directions,https://dl.acm.org/doi/10.1145/3437800.3439203,"High Performance Computing (HPC) is the ability to process data and perform complex calculations at extremely high speeds. Current HPC platforms can achieve calculations on the order of quadrillions of calculations per second, with quintillions on the ..."
The high performance computing and communications (HPCC) program: technologies for the national information infrastructure,https://dl.acm.org/doi/10.5555/602770.602821,The Federal HPCC Program is a 10-agency billion dollar per year effort to accelerate the development of high performance computing and communications technologies and the diffusion of these technologies to improve U.S. competitiveness and the well-being ...
Universal high performance computing: we have just begun,https://dl.acm.org/doi/10.1145/197912.197925,
OpenCL-ready High Speed FPGA Network for Reconfigurable High Performance Computing,https://dl.acm.org/doi/10.1145/3149457.3149479,Field programmable gate arrays (FPGAs) have gained attention in high-performance computing (HPC) research because their computation and communication capabilities have dramatically improved in recent years as a result of improvements to semiconductor ...
Predicting faults in high performance computing systems: an in-depth survey of the state-of-the-practice,https://dl.acm.org/doi/10.1145/3295500.3356185,"As we near exascale, resilience remains a major technical hurdle. Any technique with the goal of achieving resilience suffers from having to be reactive, as failures can appear at any time. A wide body of research aims at predicting failures, i.e., ..."
Usage of petri nets for high performance computing,https://dl.acm.org/doi/10.1145/2364474.2364481,Petri nets are a well established graphical and mathematical modelling language for a description of concurrent systems. The main scope of this paper is to present our approach how to use Petri nets for high-performance computing. They are rarely used ...
High performance computing: the software challenges,https://dl.acm.org/doi/10.1145/1278177.1278180,"In the past decade we have seen significant advances in the reliability and performance of commodity computing elements, such as processors, disks and network devices. Processors, in particular, have increased the computational power available in ..."
Refactorings for Fortran and high-performance computing,https://dl.acm.org/doi/10.1145/1145319.1145331,"Not since the advent of the integrated development environment has a development tool had the impact on programmer productivity that refactoring tools have had for object-oriented developers. However, at the present time, such tools do not exist for ..."
Refactorings for Fortran and high-performance computing,https://dl.acm.org/doi/10.1145/1145319.1145331,"Not since the advent of the integrated development environment has a development tool had the impact on programmer productivity that refactoring tools have had for object-oriented developers. However, at the present time, such tools do not exist for ..."
Acceleration technology for high performance computing in China,https://dl.acm.org/doi/10.1145/1375783.1375800,
Commit quality in five high performance computing projects,https://dl.acm.org/doi/10.5555/2821003.2821008,High Performance Computing (HPC) has a long history of software development but relatively little is known about the approaches this community uses to create and maintain software. To close this gap we study the practices of using version control tools ...
EduHPC '14: Proceedings of the Workshop on Education for High-Performance Computing,https://dl.acm.org/doi/proceedings/10.5555/2690854,"Welcome to Proceedings of the EduHPC 2014: Workshop on Education for High-Performance Computing at SC-14! This workshop followed the excellent participation at the inaugural EduHPDC workshop last year in Denver, Colorado at SC-13. The EduHPC workshop ..."
Predictive modeling of I/O characteristics in high performance computing systems,https://dl.acm.org/doi/10.5555/3213069.3213077,"Each of high performance computing, cloud computing, and computer security have their own interests in modeling and predicting the performance of computers with respect to how they are configured. An effective model might infer internal mechanics, ..."
A comparative study of high-performance computing on the cloud,https://dl.acm.org/doi/10.1145/2462902.2462919,"The popularity of Amazon's EC2 cloud platform has increased in recent years. However, many high-performance computing (HPC) users consider dedicated high-performance clusters, typically found in large compute centers such as those in national ..."
A comparative study of high-performance computing on the cloud,https://dl.acm.org/doi/10.1145/2493123.2462919,"The popularity of Amazon's EC2 cloud platform has increased in recent years. However, many high-performance computing (HPC) users consider dedicated high-performance clusters, typically found in large compute centers such as those in national ..."
Enabling collaboration in high performance computing,https://dl.acm.org/doi/10.1145/1324302.1324312,"The West Virginia Cluster Computing Grid (WVCCG) Project is focused on enabling, enhancing, and supporting high performance computing-based research and education throughout the state of West Virginia. The goal of this National Science Foundation funded ..."
"A power-measurement methodology for large-scale, high-performance computing",https://dl.acm.org/doi/10.1145/2568088.2576795,Improvement in the energy efficiency of supercomputers can be accelerated by improving the quality and comparability of efficiency measurements. The ability to generate accurate measurements at extreme scale are just now emerging. The realization of ...
NEC High performance computing solutions,https://dl.acm.org/doi/10.1145/1188455.1188739,NEC is a leading solutions provider of high performance computers. NEC understands that one size does not fit all and one hardware architecture can not be optimal for all applications. NEC has a rich experience in integrating powerful vector ...
Toward high performance computing in unconventional computing environments,https://dl.acm.org/doi/10.1145/1851476.1851569,Parallel computing on volatile distributed resources requires schedulers that consider job and resource characteristics. We study unconventional computing environments containing devices spread throughout a single large organization. The devices are not ...
Predicting risky modules in open-source software for high-performance computing,https://dl.acm.org/doi/10.1145/1145319.1145337,"This paper presents the position that software-quality modeling of open-source software for high-performance computing can identify modules that have a high risk of bugs.Given the source code for a recent release, a model can predict which modules are ..."
Fujitsu's vision for high performance computing,https://dl.acm.org/doi/10.1145/1188455.1188742,"Demands for high performance computing are getting heavier every day. To meet these demands, Fujitsu continues to conduct ongoing research and development of new and more powerful servers, software, and solutions. Last July, Fujitsu launched a new HPC ..."
High performance computing meets experimental mathematics,https://dl.acm.org/doi/10.5555/762761.762768,"In this paper we describe some novel applications of high performance computing in a discipline now known as ""experimental mathematics."" The paper reviews some recent published work, and then presents some new results that have not yet appeared in the ..."
Web Portals for High-performance Computing: A Survey,https://dl.acm.org/doi/10.1145/3197385,"This article addresses web interfaces for High-performance Computing (HPC) simulation software. First, it presents a brief history, starting in the 1990s with Java applets, of web interfaces used for accessing and making best possible use of remote HPC ..."
High performance computing for combustion applications,https://dl.acm.org/doi/10.1145/1188455.1188514,Combustion process is at the root of most energy production systems. The understanding of combustion is fundamental to exploit efficiently the available natural resources and to reduce pollutant emissions. The giant leaps performed in computer science ...
High Performance Computing in Context,https://dl.acm.org/doi/10.1109/SC.2004.28,
High-performance computing in mobile services,https://dl.acm.org/doi/10.1145/2254756.2254759,"With the ever increasing popularity of smart phones, mobile services have been evolving rapidly to allow users to enjoy localized and personalized experiences. Users can discover local information and keep connected with family and friends on the go, ..."
GPU Cluster for High Performance Computing,https://dl.acm.org/doi/10.1109/SC.2004.26,"Inspired by the attractive Flops/dollar ratio and the incredible growth in the speed of modern graphics processing units (GPUs), we propose to use a cluster of GPUs for high performance scientific computing. As an example application, we have developed ..."
Towards New Metrics for High-Performance Computing Resilience,https://dl.acm.org/doi/10.1145/3086157.3086163,"Ensuring the reliability of applications is becoming an increasingly important challenge as high-performance computing (HPC) systems experience an ever-growing number of faults, errors and failures. While the HPC community has made substantial progress ..."
